FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
Fam9,E_34,S108,V48_011,4.2,0,728,37,S96,Fam09,O,TC,M,10.3,68.6,E_control,control,42,175.365,-2.39995,-2.63476,0.8,37.7,1.9,1.5,1094285.4,210,60.11,0.74
Fam17,E_46,S144,V48_099,1,2,335,31,S132,Fam17,O,TT,F,11,69.5,E_exposed,infected,36,60.483,-2.06699,-1.756,0.1,10.1,6.8,1.6,692365.8,100,95.11,0.33
Fam17,E_46,S144,V48_002,3.4,6,274,30,S131,Fam17,O,TT,M,8.5,69.7,E_exposed,infected,34,45.836,-2.08402,-1.6883,0.1,7.6,0.1,0.3,NA,NA,NA,0.88
Fam17,E_46,S144,V48_038,3.8,0,365,33,S128,Fam17,O,TC,M,9.3,69.1,E_control,control,38,-2.223,-0.55043,-0.28109,0.3,12.4,0.2,1.2,854941.9,146,65.11,0.82
Fam17,E_46,S144,V48_202,1,1,472,35,S134,Fam17,O,TT,M,9.6,71.2,E_exposed,infected,40,12.071,-0.27467,-0.15394,0.3,13,2.8,2.2,381340.9,55,25.11,0.26
Fam17,E_46,S144,V48_203,1,0,330,31,S129,Fam17,O,TC,M,12.6,68.8,E_control,control,35,55.483,-1.98642,-1.66848,0.3,8.2,0.5,1.4,350440.4,49,70.11,0.72
Fam17,E_46,S144,V48_204,0.7,0,370,32,S130,Fam17,O,TC,M,10.2,69.4,E_control,control,37,49.13,-1.631,-1.36861,0.1,10,0.3,1.1,238101.3,27,85.11,0.25
Fam17,E_46,S144,V48_178,1,3,327,31,S133,Fam17,O,TT,M,10.4,69.3,E_exposed,infected,36,52.483,-1.93808,-1.61597,0.1,6.8,0.2,0.8,395237.2,53,100.11,0.51
Fam17,E_49,S69,V48_391,1.1,1,352,32,S59,Fam17,O,TT,M,10.5,65,E_exposed,infected,37,31.13,-1.34094,-1.05356,0.3,11.7,0.1,1.2,1682195.2,257,70.11,0.36
Fam17,E_49,S69,V48_298,2,0,411,34,S56,Fam17,O,TC,F,10.1,65.4,E_control,control,39,-2.576,-0.29169,-0.08624,0.3,17.6,4.9,1.8,2197647.1,321,50.11,0.84
Fam17,E_49,S69,V48_008,4.1,0,546,36,S54,Fam17,O,TC,F,13,66.4,E_control,control,41,39.718,-0.46713,-0.44918,0.3,28.8,9.1,1.6,2531542.5,467,55.11,0.55
Fam17,E_49,S69,V48_009,3.7,1,408,32,S58,Fam17,O,TT,F,13.6,66.8,E_exposed,infected,37,87.13,-2.24334,-2.03373,0.4,19.1,1.9,0.5,1599779.7,305,70.11,0.67
Fam17,E_49,S69,V48_372,1.2,0,400,34,S57,Fam17,O,TC,M,8.8,63.1,E_control,control,38,-13.576,-0.11443,0.10629,0.4,14.5,0.1,1.7,2091008.9,324,60.11,0.66
Fam17,E_49,S69,V48_171,1,0,308,31,S55,Fam17,O,TC,F,9,66.6,E_control,control,35,33.483,-1.63191,-1.28341,0.4,10,5.6,1,508867.3,62,90.11,0.86
Fam6,NE_04,S35,V48_160,2,2,445,36,S32,Fam06,O,CT,M,8.5,67.4,NE_exposed,infected,42,-61.282,1.16042,1.31865,0.4,7.6,1.4,1.5,1633256.5,250,95.11,0.53
Fam6,NE_04,S35,V48_116,6,0,771,41,S29,Fam06,O,CC,F,9.5,70.2,NE_control,control,47,32.953,0.90714,0.6126,1.3,30.8,19.6,3.2,3410217.6,607,80.11,1.05
Fam6,NE_04,S35,V48_281,4.9,0,776,40,S30,Fam06,O,CC,F,10.9,67,NE_control,control,45,84.306,-0.17344,-0.47491,0.9,30.6,13.8,3.5,1260135.3,207,80.11,0.46
Fam6,NE_04,S35,V48_021,4.6,0,824,41,S27,Fam06,O,CC,M,11.4,68.4,NE_control,control,46,85.953,0.05307,-0.31507,0.9,27,4.7,12.8,1661739,329,55.11,3.61
Fam6,NE_04,S35,V48_082,3.5,0,526,36,S28,Fam06,O,CC,F,12.8,72.3,NE_control,control,42,19.718,-0.14484,-0.09911,0.8,18.6,6.5,1.2,4107881.3,717,85.11,0.94
Fam6,NE_04,S35,V48_241,2.3,2,515,37,S33,Fam06,O,CT,M,10.5,71.2,NE_exposed,infected,42,-37.635,1.03242,1.09342,0.5,10.5,0.4,1.9,360823.7,46,125.11,0.92
Fam6,NE_04,S35,V48_115,2.6,2,509,37,S31,Fam06,O,CT,F,6.6,67.3,NE_exposed,infected,43,-43.635,1.1291,1.19844,0.4,18.3,7.6,1.4,1346311.4,209,95.11,1.37
Fam6,NE_04,S35,V48_279,2,3,564,39,S34,Fam06,O,CT,F,9.6,70,NE_exposed,infected,45,-81.341,2.24281,2.23577,0.6,12.5,11.5,2.2,1512728.6,237,50.11,0.46
Fam11,NE_05,S53,V48_364,4.9,0,795,41,S48,Fam11,O,CC,M,12.9,67.4,NE_control,control,46,56.953,0.52039,0.19252,1.2,26.1,1.4,2.4,2826301.3,471,15.1,0.56
Fam11,NE_05,S53,V48_139,3.3,0,781,40,S46,Fam11,O,CC,F,8.3,68.3,NE_control,control,46,89.306,-0.25401,-0.56243,1,35.4,11.5,2,3025612.5,462,60.11,0.24
Fam11,NE_05,S53,V48_140,3.1,2,848,43,S49,Fam11,O,CT,F,11.9,66.2,NE_exposed,infected,49,17.247,1.66633,1.26485,1.2,31.2,18.5,2.3,4360868.2,686,60.11,0.43
Fam11,NE_05,S53,V48_262,4,0,873,43,S47,Fam11,O,CC,F,13.3,69.3,NE_control,control,49,42.247,1.26347,0.82727,0.8,30.1,12.2,2.5,4165286,685,65.11,0.54
Fam11,NE_05,S53,V48_263,4.2,3,860,43,S50,Fam11,O,CT,F,9.3,66.8,NE_exposed,infected,49,29.247,1.47295,1.05482,0.8,29.7,11.4,2.9,3871094.1,697,55.11,0.46
Fam11,NE_05,S53,V48_108,4.7,0,779,40,S45,Fam11,O,CC,F,12.3,67.6,NE_control,control,46,87.306,-0.22178,-0.52742,0.9,31.3,8.7,2.5,7360560.4,1372,65.11,0.24
Fam11,NE_05,S53,V48_365,2.2,4,739,41,S51,Fam11,O,CT,F,10.7,65.8,NE_exposed,infected,47,0.953,1.42279,1.17271,0.8,25,13.5,2.8,3693492.9,645,55.11,1.06
Fam9,NE_16,S94,V48_079,3.1,0,831,43,S88,Fam09,O,CC,F,10,68.6,NE_control,control,49,0.247,1.94027,1.56241,1.1,38.5,10.6,3.4,1117417.5,182,65.11,0.43
Fam9,NE_16,S94,V48_369,2.9,1,786,42,S93,Fam09,O,CT,M,10.9,69,NE_exposed,infected,48,1.6,1.66542,1.35006,1,10.9,3.3,3.4,1071964.3,151,80.11,0.36
Fam9,NE_16,S94,V48_370,2.2,0,861,42,S91,Fam09,O,CC,M,12.1,67.1,NE_control,control,48,76.6,0.45684,0.03732,1.5,14.1,8.2,4.5,1272249.2,168,15.1,0.75
Fam9,NE_16,S94,V48_344,2.3,0,742,41,S90,Fam09,O,CC,M,11.2,62.9,NE_control,control,47,3.953,1.37445,1.12019,1.2,19.7,1.3,2.2,961107.1,155,80.11,0.1
Fam9,NE_16,S94,V48_081,3,0,826,42,S89,Fam09,O,CC,M,10,67.4,NE_control,control,49,41.6,1.02084,0.64993,0.9,24.7,3.8,4.7,1053219.9,162,20.11,1.1
Fam9,NE_16,S94,V48_232,2.6,1,715,40,S92,Fam09,O,CT,F,9.7,71.5,NE_exposed,infected,46,23.306,0.80954,0.59278,1.4,20.5,9.4,3.1,1610788.9,255,45.11,0.74
Fam6,NE_30,S16,V48_213,6.7,0,1043,40,S10,Fam06,O,CC,M,12,64.3,NE_control,control,46,351.306,-4.47598,-5.14827,1.5,41.1,14.1,14.3,4497525.7,757,60.11,0.95
Fam6,NE_30,S16,V48_338,1.9,0,657,40,S11,Fam06,O,CC,M,12.9,69.9,NE_control,control,46,-34.694,1.74417,1.60797,1,22.6,9.4,1.9,896457,132,95.11,0.67
Fam6,NE_30,S16,V48_211,2.1,1,688,42,S14,Fam06,O,CT,M,10.5,66.9,NE_exposed,infected,48,-96.4,3.24463,3.06537,1.2,16.3,1.1,2.8,1364347.2,190,75.11,0.7
Fam6,NE_30,S16,V48_340,3.3,0,852,43,S12,Fam06,O,CC,F,6.4,44.8,NE_control,control,50,21.247,1.57653,1.15385,1.3,32.7,11.4,3.2,917154.9,136,75.11,1.68
Fam6,NE_30,S16,V48_295,5.3,2,976,44,S15,Fam06,O,CT,F,8.3,68,NE_exposed,infected,50,98.893,0.60368,0.02444,1.3,46.1,16.4,5.2,2482191.8,355,85.11,1.25
Fam6,NE_30,S16,V48_043,4.5,0,735,39,S9,Fam06,O,CC,F,14.3,69.2,NE_control,control,45,89.659,-0.51275,-0.75728,1.2,33.9,9.9,1.8,2087275.7,397,75.11,0.68
Fam6,NE_30,S16,V48_013,4.2,4,454,37,S13,Fam06,O,CT,F,10.1,71.1,NE_exposed,infected,42,-98.635,2.01539,2.16112,0.3,8.5,5.9,NA,NA,NA,NA,0.77
Fam11,NE_31,S125,V48_022,4.4,0,638,38,S116,Fam11,O,CC,M,11.1,67,NE_control,control,44,39.012,0.05035,-0.05947,0.4,16.9,2.9,1.9,951264.4,190,70.11,0.83
Fam11,NE_31,S125,V48_357,1.5,0,561,38,S119,Fam11,O,CC,M,10,70.2,NE_control,control,43,-37.988,1.29115,1.28828,0.4,6.7,3.3,1.1,632294.5,89,85.11,1.79
Fam11,NE_31,S125,V48_272,2,1,685,41,S122,Fam11,O,CT,F,11.1,73,NE_exposed,infected,47,-53.047,2.29297,2.11788,0.4,14.4,10.7,2.4,1743554.3,291,55.11,0.68
Fam11,NE_31,S125,V48_075,1.5,2,560,39,S120,Fam11,O,CT,F,12.5,72.3,NE_exposed,infected,45,-85.341,2.30727,2.30578,0.3,13.4,9,1.1,1809721.2,276,65.11,0.72
Fam11,NE_31,S125,V48_150,2.7,2,473,36,S121,Fam11,O,CT,F,12.8,71.4,NE_exposed,infected,42,-33.282,0.70922,0.82856,0.1,11.4,5.7,NA,1477290.9,220,85.11,1.27
Fam11,NE_31,S125,V48_052,1.5,0,594,38,S117,Fam11,O,CC,F,12.3,71.2,NE_control,control,44,-4.988,0.75938,0.71067,0.5,14.8,10,1.1,301697.2,41,100.11,1.73
Fam11,NE_31,S125,V48_307,0.9,1,363,34,S123,Fam11,O,CT,M,12.3,70.9,NE_exposed,infected,40,-50.576,0.4818,0.75391,0.1,4.7,0.3,0.4,201478.8,29,90.11,0.61
Fam11,NE_31,S125,V48_074,1.3,0,622,39,S118,Fam11,O,CC,M,5.5,70.6,NE_control,control,44,-23.341,1.29271,1.19983,0.3,13.1,4.3,11.1,1211828.8,183,80.11,1.18
Fam9,NE_34,S107,V48_329,4,0,867,42,S102,Fam09,O,CC,M,10.6,68.6,NE_control,control,48,82.6,0.36015,-0.06771,1.4,40.4,1.2,4.8,3482595.9,500,75.11,0.33
Fam9,NE_34,S107,V48_003,4.5,1,650,40,S103,Fam09,O,CT,F,11.1,69.3,NE_exposed,infected,45,-41.694,1.85698,1.73049,0.7,16.9,9.5,1.2,2764858.5,498,50.11,1.37
Fam9,NE_34,S107,V48_311,2.5,1,659,40,S104,Fam09,O,CT,M,9.3,68.1,NE_exposed,infected,45,-32.694,1.71195,1.57296,0.9,19.9,0.7,2.5,1921151,319,20.11,0.67
Fam9,NE_34,S107,V48_330,2,6,447,35,S105,Fam09,O,CT,M,10.6,70.4,NE_exposed,infected,41,-12.929,0.12819,0.28364,0.6,11.7,8.7,1.7,2815242.4,420,55.11,0.43
Fam9,NE_34,S107,V48_331,2,6,574,39,S106,Fam09,O,CT,F,10,68.4,NE_exposed,infected,45,-71.341,2.08167,2.06073,0.9,18.3,8.9,2.3,2111808.4,290,20.11,0.38
Fam9,NE_34,S107,V48_312,2.2,0,565,37,S101,Fam09,O,CC,M,10.3,69,NE_control,control,43,12.365,0.2267,0.21826,0.6,13.8,0.9,2.6,1449694,234,15.1,0.91
Fam17,NE_46,S143,V48_378,1.6,0,444,34,S138,Fam17,O,CC,F,9.7,70.4,NE_control,control,39,30.424,-0.82346,-0.66385,0.4,15.7,5.9,2,2141092.9,351,70.11,0.96
Fam17,NE_46,S143,V48_010,3.9,3,430,35,S139,Fam17,O,CT,M,10.7,70.6,NE_exposed,infected,39,-29.929,0.40214,0.5812,0.1,12.5,0.1,1.1,1156073.3,209,70.11,1.06
Fam17,NE_46,S143,V48_189,2,0,391,33,S136,Fam17,O,CC,M,12.8,72,NE_control,control,38,23.777,-0.9694,-0.73618,0.5,12.6,0.6,0.3,937141,135,20.11,0.72
Fam17,NE_46,S143,V48_328,2.1,0,285,30,S137,Fam17,O,CC,F,9.7,71.7,NE_control,control,34,56.836,-2.26128,-1.88084,0.4,8.8,5.2,0.7,1867475.7,252,70.11,0.55
Fam17,NE_46,S143,V48_187,1.1,5,428,35,S141,Fam17,O,CT,M,19.3,68.3,NE_exposed,infected,40,-31.929,0.43437,0.6162,0.4,9.9,0.5,2.2,335313.9,38,75.11,2.05
Fam17,NE_46,S143,V48_224,2.2,3,492,36,S142,Fam17,O,CT,F,4.8,71.8,NE_exposed,infected,41,-14.282,0.39316,0.48668,0.1,18.5,10.1,1.2,2982442.5,475,70.11,1.09
Fam17,NE_46,S143,V48_067,2.1,2,423,35,S140,Fam17,O,CT,F,8.9,71.6,NE_exposed,infected,40,-36.929,0.51494,0.70372,0.3,13.9,8.6,0.5,337334.9,45,110.11,1.38
Fam17,NE_46,S143,V48_047,3.6,0,331,31,S135,Fam17,O,CC,M,10.5,71.2,NE_control,control,36,56.483,-2.00254,-1.68599,0.3,10.4,0.1,0.9,299015.7,45,85.11,0.77
Fam17,NE_49,S68,V48_017,4.1,0,617,35,S60,Fam17,O,CC,F,10.6,69.8,NE_control,control,41,157.071,-2.61125,-2.6919,0.2,21.6,7.6,1.8,2074142.4,413,55.11,0.94
Fam17,NE_49,S68,V48_220,1.5,1,371,33,S65,Fam17,O,CT,M,9.5,68.9,NE_exposed,infected,38,3.777,-0.64711,-0.38612,0.1,7.5,0.3,1.3,1788799.5,270,75.11,0.39
Fam17,NE_49,S68,V48_174,0.8,0,345,32,S62,Fam17,O,CC,F,11.7,71.4,NE_control,control,37,24.13,-1.22814,-0.93103,0.1,8.8,5.9,1.1,717637.4,111,95.11,0.74
Fam17,NE_49,S68,V48_018,4,0,491,35,S61,Fam17,O,CC,F,9.3,69.6,NE_control,control,40,31.071,-0.58084,-0.4865,0.1,17,6.2,0.1,1463057.1,275,70.11,1.06
Fam17,NE_49,S68,V48_347,0.8,2,279,32,S67,Fam17,O,CT,M,12.4,71,NE_exposed,infected,37,-41.87,-0.16459,0.22418,0.1,3.3,NA,0.5,NA,NA,NA,0.71
Fam17,NE_49,S68,V48_348,1.9,0,466,36,S63,Fam17,O,CC,F,10.4,70.4,NE_control,control,41,-40.282,0.82202,0.95108,0.1,22.2,6.8,2.2,2724099.2,475,70.11,0.8
Fam17,NE_49,S68,V48_198,1,2,328,32,S64,Fam17,O,CT,F,10.7,72.2,NE_exposed,infected,37,7.13,-0.95419,-0.63348,0.1,6.8,5.1,0.9,476258.3,56,90.11,0.33
Fam17,NE_49,S68,V48_337,1.8,3,476,35,S66,Fam17,O,CT,F,10.8,69.7,NE_exposed,infected,40,16.071,-0.33912,-0.22395,0.3,22.5,7.6,1.4,519244.8,89,85.11,0.36
