ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen ,HK.W,SPL.W,L.W,GON.W,BK.W,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S1,Fam06,O,TC,F,10.9,V48_006,66.3,E_control,control,0,43,50,1096,265.247,-2.33004,-3.07594,5,0.9,61.3,116.8,3.5,923411.8,174,70.11,0.96
S2,Fam06,O,TC,F,10,V48_032,66.2,E_control,control,0,38,43,595,-3.988,0.74326,0.69317,4.3,0.4,20,10.7,0.7,1152749,226,60.11,1.31
S3,Fam06,O,TC,F,11.2,V48_137,65.9,E_control,control,0,42,48,923,138.6,-0.54225,-1.04789,3.2,1.2,49.5,18.8,4.1,2972330.5,508,80.11,0.43
S4,Fam06,O,TC,M,11.5,V48_227,67.7,E_control,control,0,39,45,837,191.659,-2.15642,-2.54261,3.5,1.4,30.9,5.6,5,1636361.1,240,60.11,0.96
S5,Fam06,O,TT,M,11.3,V48_181,66.8,E_exposed,infected,1,41,46,803,64.953,0.39147,0.0525,3.9,1,23.4,11.9,4.4,1658412.2,265,75.11,1.19
S6,Fam06,O,TT,F,11.5,V48_228,68.2,E_exposed,infected,1,36,42,645,138.718,-2.06245,-2.18199,2.6,1.1,25.5,14.1,3.3,2550909.9,409,70.11,0.39
S7,Fam06,O,TT,M,8.7,V48_278,67.3,E_exposed,infected,2,37,42,595,42.365,-0.25674,-0.30683,3.1,1,30.1,0.6,1.9,1654039.1,251,85.11,0.84
S8,Fam06,O,TT,F,9.4,V48_310,66.7,E_exposed,infected,2,35,41,583,123.071,-2.06336,-2.09679,3.4,0.7,26.7,8.6,2.2,2677709.3,427,85.11,0.44
S9,Fam06,O,CC,F,14.3,V48_043,69.2,NE_control,control,0,39,45,735,89.659,-0.51275,-0.75728,4.5,1.2,33.9,9.9,1.8,2087275.7,397,75.11,0.68
S10,Fam06,O,CC,M,12,V48_213,64.3,NE_control,control,0,40,46,1043,351.306,-4.47598,-5.14827,6.7,1.5,41.1,14.1,14.3,4497525.7,757,60.11,0.95
S11,Fam06,O,CC,M,12.9,V48_338,69.9,NE_control,control,0,40,46,657,-34.694,1.74417,1.60797,1.9,1,22.6,9.4,1.9,896457,132,95.11,0.67
S12,Fam06,O,CC,F,6.4,V48_340,44.8,NE_control,control,0,43,50,852,21.247,1.57653,1.15385,3.3,1.3,32.7,11.4,3.2,917154.9,136,75.11,1.68
S13,Fam06,O,CT,F,10.1,V48_013,71.1,NE_exposed,infected,4,37,42,454,-98.635,2.01539,2.16112,4.2,0.3,8.5,5.9,NA,NA,NA,NA,0.77
S14,Fam06,O,CT,M,10.5,V48_211,66.9,NE_exposed,infected,1,42,48,688,-96.4,3.24463,3.06537,2.1,1.2,16.3,1.1,2.8,1364347.2,190,75.11,0.7
S15,Fam06,O,CT,F,8.3,V48_295,68,NE_exposed,infected,2,44,50,976,98.893,0.60368,0.02444,5.3,1.3,46.1,16.4,5.2,2482191.8,355,85.11,1.25
S16,Fam06,P,C,M,10.5,62,64.8,Control,control,0,43,49,931,11.613,0.32883,0.42816,4.1,0.9,18.8,8.2,261,2834708,358.5,102.61,0.5291
S17,Fam06,P,T,M,9.2,63,65.2,Exposed,infected,6,39,44,732,11.531,-0.46441,-1.17546,2.6,1.1,17.5,7.7,174,1914101,243,105.11,0.4579
S18,Fam06,O,TC,M,9.8,V48_089,62.9,E_control,control,0,38,43,573,-25.988,1.09778,1.07824,2.7,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5
S19,Fam06,O,TC,F,11.4,V48_090,69.8,E_control,control,0,41,46,702,-36.047,2.01902,1.82032,3,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68
S20,Fam06,O,TC,F,12.5,V48_122,65.3,E_control,control,0,40,46,680,-11.694,1.37354,1.2054,2.3,0.6,19.8,27.6,19.8,1011690.6,174,100.11,0.67
S21,Fam06,O,TC,M,11.1,V48_380,61.5,E_control,control,0,40,45,689,-2.694,1.22851,1.04787,2.6,0.5,14.3,1.2,3.4,901561.7,157,90.11,0.45
S22,Fam06,O,TT,F,5.8,V48_055,69.1,E_exposed,infected,1,38,44,615,16.012,0.40581,0.32296,1.7,0.7,17.4,12,2.2,194165,27,125.11,1.74
S23,Fam06,O,TT,M,11.3,V48_057,61.2,E_exposed,infected,5,40,46,706,14.306,0.95457,0.75031,3.6,0.7,21.9,4.2,3.5,1025671.6,177,85.11,2.49
S24,Fam06,O,TT,F,20,V48_152,70.3,E_exposed,infected,1,41,47,660,-78.047,2.69583,2.55546,2.8,0.5,18.5,12.4,3.6,703565.1,110,80.11,0.97
S25,Fam06,O,TT,M,11.7,V48_256,65.8,E_exposed,infected,2,41,47,832,93.953,-0.07584,-0.45509,2.6,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75
S26,Fam06,O,TT,M,11.1,V48_363,63.2,E_exposed,infected,9,38,42,592,-6.988,0.79161,0.74568,4.4,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92
S27,Fam06,O,CC,M,11.4,V48_021,68.4,NE_control,control,0,41,46,824,85.953,0.05307,-0.31507,4.6,0.9,27,4.7,12.8,1661739,329,55.11,3.61
S28,Fam06,O,CC,F,12.8,V48_082,72.3,NE_control,control,0,36,42,526,19.718,-0.14484,-0.09911,3.5,0.8,18.6,6.5,1.2,4107881.3,717,85.11,0.94
S29,Fam06,O,CC,F,9.5,V48_116,70.2,NE_control,control,0,41,47,771,32.953,0.90714,0.6126,6,1.3,30.8,19.6,3.2,3410217.6,607,80.11,1.05
S30,Fam06,O,CC,F,10.9,V48_281,67,NE_control,control,0,40,45,776,84.306,-0.17344,-0.47491,4.9,0.9,30.6,13.8,3.5,1260135.3,207,80.11,0.46
S31,Fam06,O,CT,F,6.6,V48_115,67.3,NE_exposed,infected,2,37,43,509,-43.635,1.1291,1.19844,2.6,0.4,18.3,7.6,1.4,1346311.4,209,95.11,1.37
S32,Fam06,O,CT,M,8.5,V48_160,67.4,NE_exposed,infected,2,36,42,445,-61.282,1.16042,1.31865,2,0.4,7.6,1.4,1.5,1633256.5,250,95.11,0.53
S33,Fam06,O,CT,M,10.5,V48_241,71.2,NE_exposed,infected,2,37,42,515,-37.635,1.03242,1.09342,2.3,0.5,10.5,0.4,1.9,360823.7,46,125.11,0.92
S34,Fam06,O,CT,F,9.6,V48_279,70,NE_exposed,infected,3,39,45,564,-81.341,2.24281,2.23577,2,0.6,12.5,11.5,2.2,1512728.6,237,50.11,0.46
S35,Fam06,P,C,M,9.2,7,64.8,Control,control,0,43,48,931,11.613,0.32883,0.42816,3.9,1,29.6,7,206,918395,119.5,92.61,0.6135
S36,Fam06,P,T,M,9,8,59,Exposed,infected,5,45,50,1028,11.503,0.76574,1.26007,1.5,0.6,33,7.4,197,2175423,240,97.61,0.5713
S37,Fam11,O,TC,M,7.8,V48_071,68.2,E_control,control,0,42,48,852,67.6,0.60187,0.19484,2.5,1,32.1,3,3.7,4534874.8,720,55.11,0.38
S38,Fam11,O,TC,F,11.8,V48_360,69.6,E_control,control,0,44,50,978,100.894,0.57146,-0.01056,3.5,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28
S39,Fam11,O,TC,M,11.6,V48_385,66.2,E_control,control,0,42,47,801,16.6,1.4237,1.08751,3.8,0.9,23.7,0.5,4.9,251874.5,32,50.11,0.37
S40,Fam11,O,TC,M,10.5,V48_386,70.6,E_control,control,0,40,45,692,0.306,1.18017,0.99536,2.8,0.6,12.9,8.2,2.5,1433789.8,215,65.11,0.39
S41,Fam11,O,TT,M,6.7,V48_070,66.8,E_exposed,infected,1,40,47,697,5.306,1.0996,0.90784,2.6,0.5,16,0.9,2.5,580396,84,75.11,0.78
S42,Fam11,O,TT,M,13.6,V48_133,67.7,E_exposed,infected,2,41,47,710,-28.047,1.89011,1.6803,3.4,0.6,18,0.6,1.9,1263219,190,85.11,0.45
S43,Fam11,O,TT,F,11.7,V48_134,66.9,E_exposed,infected,1,43,49,879,48.247,1.16678,0.72226,3.5,1.1,27.9,16,2.9,2376297.2,389,60.11,0.61
S44,Fam11,O,TT,F,10,V48_252,69.9,E_exposed,infected,1,45,51,976,52.54,1.60368,1.02445,2.3,0.8,29.6,16.2,4,5123708.3,897,60.11,0.47
S45,Fam11,O,CC,F,12.3,V48_108,67.6,NE_control,control,0,40,46,779,87.306,-0.22178,-0.52742,4.7,0.9,31.3,8.7,2.5,7360560.4,1372,65.11,0.24
S46,Fam11,O,CC,F,8.3,V48_139,68.3,NE_control,control,0,40,46,781,89.306,-0.25401,-0.56243,3.3,1,35.4,11.5,2,3025612.5,462,60.11,0.24
S47,Fam11,O,CC,F,13.3,V48_262,69.3,NE_control,control,0,43,49,873,42.247,1.26347,0.82727,4,0.8,30.1,12.2,2.5,4165286,685,65.11,0.54
S48,Fam11,O,CC,M,12.9,V48_364,67.4,NE_control,control,0,41,46,795,56.953,0.52039,0.19252,4.9,1.2,26.1,1.4,2.4,2826301.3,471,15.1,0.56
S49,Fam11,O,CT,F,11.9,V48_140,66.2,NE_exposed,infected,2,43,49,848,17.247,1.66633,1.26485,3.1,1.2,31.2,18.5,2.3,4360868.2,686,60.11,0.43
S50,Fam11,O,CT,F,9.3,V48_263,66.8,NE_exposed,infected,3,43,49,860,29.247,1.47295,1.05482,4.2,0.8,29.7,11.4,2.9,3871094.1,697,55.11,0.46
S51,Fam11,O,CT,F,10.7,V48_365,65.8,NE_exposed,infected,4,41,47,739,0.953,1.42279,1.17271,2.2,0.8,25,13.5,2.8,3693492.9,645,55.11,1.06
S52,Fam11,P,T,M,11.2,9,65.4,Exposed,infected,2,45,51,1046,11.705,0.47568,1.04331,3.1,0.8,37.2,14.1,161,2862450,376.5,75.11,0.5513
S53,Fam11,P,C,M,12.6,10,67.1,Control,control,0,44,49,1057,12.48,-0.70158,-0.08915,6.9,1.1,38.6,11.8,273,4441521,553,77.61,0.6382
S54,Fam17,O,TC,F,13,V48_008,66.4,E_control,control,0,36,41,546,39.718,-0.46713,-0.44918,4.1,0.3,28.8,9.1,1.6,2531542.5,467,55.11,0.55
S55,Fam17,O,TC,F,9,V48_171,66.6,E_control,control,0,31,35,308,33.483,-1.63191,-1.28341,1,0.4,10,5.6,1,508867.3,62,90.11,0.86
S56,Fam17,O,TC,F,10.1,V48_298,65.4,E_control,control,0,34,39,411,-2.576,-0.29169,-0.08624,2,0.3,17.6,4.9,1.8,2197647.1,321,50.11,0.84
S57,Fam17,O,TC,M,8.8,V48_372,63.1,E_control,control,0,34,38,400,-13.576,-0.11443,0.10629,1.2,0.4,14.5,0.1,1.7,2091008.9,324,60.11,0.66
S58,Fam17,O,TT,F,13.6,V48_009,66.8,E_exposed,infected,1,32,37,408,87.13,-2.24334,-2.03373,3.7,0.4,19.1,1.9,0.5,1599779.7,305,70.11,0.67
S59,Fam17,O,TT,M,10.5,V48_391,65,E_exposed,infected,1,32,37,352,31.13,-1.34094,-1.05356,1.1,0.3,11.7,0.1,1.2,1682195.2,257,70.11,0.36
S60,Fam17,O,CC,F,10.6,V48_017,69.8,NE_control,control,0,35,41,617,157.071,-2.61125,-2.6919,4.1,0.2,21.6,7.6,1.8,2074142.4,413,55.11,0.94
S61,Fam17,O,CC,F,9.3,V48_018,69.6,NE_control,control,0,35,40,491,31.071,-0.58084,-0.4865,4,0.1,17,6.2,0.1,1463057.1,275,70.11,1.06
S62,Fam17,O,CC,F,11.7,V48_174,71.4,NE_control,control,0,32,37,345,24.13,-1.22814,-0.93103,0.8,0.1,8.8,5.9,1.1,717637.4,111,95.11,0.74
S63,Fam17,O,CC,F,10.4,V48_348,70.4,NE_control,control,0,36,41,466,-40.282,0.82202,0.95108,1.9,0.1,22.2,6.8,2.2,2724099.2,475,70.11,0.8
S64,Fam17,O,CT,F,10.7,V48_198,72.2,NE_exposed,infected,2,32,37,328,7.13,-0.95419,-0.63348,1,0.1,6.8,5.1,0.9,476258.3,56,90.11,0.33
S65,Fam17,O,CT,M,9.5,V48_220,68.9,NE_exposed,infected,1,33,38,371,3.777,-0.64711,-0.38612,1.5,0.1,7.5,0.3,1.3,1788799.5,270,75.11,0.39
S66,Fam17,O,CT,F,10.8,V48_337,69.7,NE_exposed,infected,3,35,40,476,16.071,-0.33912,-0.22395,1.8,0.3,22.5,7.6,1.4,519244.8,89,85.11,0.36
S67,Fam17,O,CT,M,12.4,V48_347,71,NE_exposed,infected,2,32,37,279,-41.87,-0.16459,0.22418,0.8,0.1,3.3,NA,0.5,NA,NA,NA,0.71
S68,Fam17,P,C,M,10.9,119,69.8,Control,control,0,47.5,54,1346,13.236,-1.85864,-0.06932,3.5,1.4,45.5,7.1,488,1565368,180.5,102.61,0.9827
S69,Fam17,P,T,M,12.9,120,65.8,Exposed,infected,5,44,49,1087,12.834,-1.18501,-0.45041,2.9,0.9,36,8.9,464,2648608,422.5,15.1,1.1251
S70,Fam17,P,T,M,7.2,1,68,Exposed,infected,2,45,50,1067,11.94,0.13728,0.79043,1.7,NA,46,11.9,304,7196948,1024.5,77.58,0.6669
S71,Fam17,P,C,M,11,2,67.8,Control,control,0,43,48,942,11.751,0.15157,0.2957,5,NA,32.2,9.3,178,3672145,457,82.58,0.5875
S72,Fam06,P,C,M,13.6,38,60.5,Control,control,0,43,48,922,11.501,0.47386,0.53654,2.1,0.6,32.9,10.4,216,1964699,295.5,90.11,0.6074
S73,Fam06,P,T,M,12.3,39,57.7,Exposed,infected,5,42,47,895,11.81,-0.09105,-0.13832,3.4,0.7,26.3,10.2,190,2164264,353,90.11,0.5927
S74,Fam12,P,T,M,11.4,72,67.6,Exposed,infected,7,45,50,939,10.507,2.19992,2.33182,3.5,1.5,25.6,10.1,247,3104499,397,62.61,0.7457
S75,Fam12,P,C,M,10.4,73,66.6,Control,control,0,44,51,1085,12.811,-1.15278,-0.42633,5.5,1.2,35.3,21.7,286,4248379,580.5,15.1,0.7526
S76,Fam09,P,C,M,11.4,78,61.7,Control,control,0,43,48,1141,14.233,-3.05519,-2.10069,4.3,0.9,56.6,11.3,206,2380350,385.5,15.1,0.5493
S77,Fam09,P,T,M,11.2,79,67.6,Exposed,infected,6,41,46,937,13.097,-1.76786,-1.6441,2.6,0.9,23.7,19.3,311,2160804,319,12.6,0.5256
S78,Fam11,P,C,M,12.4,99,66.4,Control,control,0,43.5,50,951,11.54,0.50654,0.68732,7.8,0.7,28.1,12.1,382,1126103,222,17.6,1.2202
S79,Fam11,P,T,M,7.6,100,65.4,Exposed,infected,2,44,50,1129,13.33,-1.86182,-0.95618,5.6,1.2,37.3,10.9,365,985537,229,15.1,1.2709
S80,Fam09,O,TC,M,11.3,V48_126,63.1,E_control,control,0,38,43,699,100.012,-0.93263,-1.12717,2.7,0.7,28.9,5.2,5.1,1106633.7,167,70.11,1.66
S81,Fam09,O,TC,M,12.5,V48_245,65.3,E_control,control,0,36,41,562,55.718,-0.72496,-0.72923,2.3,0.6,23.3,3.7,3.1,1207597.9,171,75.11,1.59
S82,Fam09,O,TC,M,9.9,V48_271,68.6,E_control,control,0,39,44,796,150.659,-1.49573,-1.82498,3.6,1.1,42.4,4.2,4.6,1966033.6,352,25.11,2.48
S83,Fam09,O,TC,M,11,V48_314,66,E_control,control,0,40,46,879,187.306,-1.83322,-2.27774,4.1,1.3,36,5.7,10.3,2130139.7,311,55.11,1.13
S84,Fam09,O,TT,F,12,V48_078,70.5,E_exposed,infected,1,43,49,1029,198.247,-1.25038,-1.90323,4.8,1.2,59.4,59.6,5.4,6110230.7,1058,20.11,0.84
S85,Fam09,O,TT,M,11.2,V48_218,69.5,E_exposed,infected,1,41,47,817,78.953,0.16587,-0.19255,3.6,1.1,29.1,11,5.5,2277723.8,355,75.11,1.29
S86,Fam09,O,TT,M,10.1,V48_219,68.1,E_exposed,infected,1,38,44,741,142.012,-1.60944,-1.8623,2.2,0.9,26.5,7.9,3.6,1867541.3,269,70.11,0.65
S87,Fam09,O,TT,F,10.2,V48_270,68.1,E_exposed,infected,2,39,45,753,107.659,-0.80281,-1.07234,2.8,0.8,37.4,9.9,4.1,2176526.5,371,40.11,0.98
S88,Fam09,O,CC,F,10,V48_079,68.6,NE_control,control,0,43,49,831,0.247,1.94027,1.56241,3.1,1.1,38.5,10.6,3.4,1117417.5,182,65.11,0.43
S89,Fam09,O,CC,M,10,V48_081,67.4,NE_control,control,0,42,49,826,41.6,1.02084,0.64993,3,0.9,24.7,3.8,4.7,1053219.9,162,20.11,1.1
S90,Fam09,O,CC,M,11.2,V48_344,62.9,NE_control,control,0,41,47,742,3.953,1.37445,1.12019,2.3,1.2,19.7,1.3,2.2,961107.1,155,80.11,0.1
S91,Fam09,O,CC,M,12.1,V48_370,67.1,NE_control,control,0,42,48,861,76.6,0.45684,0.03732,2.2,1.5,14.1,8.2,4.5,1272249.2,168,15.1,0.75
S92,Fam09,O,CT,F,9.7,V48_232,71.5,NE_exposed,infected,1,40,46,715,23.306,0.80954,0.59278,2.6,1.4,20.5,9.4,3.1,1610788.9,255,45.11,0.74
S93,Fam09,O,CT,M,10.9,V48_369,69,NE_exposed,infected,1,42,48,786,1.6,1.66542,1.35006,2.9,1,10.9,3.3,3.4,1071964.3,151,80.11,0.36
S94,Fam09,P,C,M,8.3,31,67.4,Control,control,0,43,48,1002,12.499,-0.81529,-0.42683,3.2,0.7,30.1,11.8,341,2696928,378,55.11,0.6298
S95,Fam09,P,T,M,9.4,32,67.4,Exposed,infected,5,42,47,938,12.378,-0.78397,-0.65614,2.1,1.5,24.5,15,207,1191014,173,47.61,0.5072
S96,Fam09,O,TC,M,10.3,V48_011,68.6,E_control,control,0,37,42,728,175.365,-2.39995,-2.63476,4.2,0.8,37.7,1.9,1.5,1094285.4,210,60.11,0.74
S97,Fam09,O,TC,M,12.8,V48_048,66.7,E_control,control,0,41,47,821,82.953,0.10141,-0.26256,4.7,0.9,29.7,14.9,2.2,2296665.1,446,55.11,1.32
S98,Fam09,O,TT,F,10.5,V48_012,68.6,E_exposed,infected,4,36,42,573,66.718,-0.90222,-0.92176,4.2,0.6,22.8,5.9,0.1,285218.2,41,40.11,0.53
S99,Fam09,O,TT,M,10.1,V48_326,69.6,E_exposed,infected,2,34,40,430,16.424,-0.59786,-0.4188,1.5,0.5,11.8,0.5,2,2354667.1,353,60.11,0.41
S100,Fam09,O,TT,M,12.1,V48_377,66.9,E_exposed,infected,2,37,42,562,9.365,0.27504,0.27077,2.2,0.6,15.8,0.2,1.8,3196044.3,514,20.11,0.7
S101,Fam09,O,CC,M,10.3,V48_312,69,NE_control,control,0,37,43,565,12.365,0.2267,0.21826,2.2,0.6,13.8,0.9,2.6,1449694,234,15.1,0.91
S102,Fam09,O,CC,M,10.6,V48_329,68.6,NE_control,control,0,42,48,867,82.6,0.36015,-0.06771,4,1.4,40.4,1.2,4.8,3482595.9,500,75.11,0.33
S103,Fam09,O,CT,F,11.1,V48_003,69.3,NE_exposed,infected,1,40,45,650,-41.694,1.85698,1.73049,4.5,0.7,16.9,9.5,1.2,2764858.5,498,50.11,1.37
S104,Fam09,O,CT,M,9.3,V48_311,68.1,NE_exposed,infected,1,40,45,659,-32.694,1.71195,1.57296,2.5,0.9,19.9,0.7,2.5,1921151,319,20.11,0.67
S105,Fam09,O,CT,M,10.6,V48_330,70.4,NE_exposed,infected,6,35,41,447,-12.929,0.12819,0.28364,2,0.6,11.7,8.7,1.7,2815242.4,420,55.11,0.43
S106,Fam09,O,CT,F,10,V48_331,68.4,NE_exposed,infected,6,39,45,574,-71.341,2.08167,2.06073,2,0.9,18.3,8.9,2.3,2111808.4,290,20.11,0.38
S107,Fam09,P,C,M,11.5,70,67.9,Control,control,0,39,45,743,11.704,-0.64166,-1.30792,2.2,1.5,19,3.9,163,3289750,422,52.61,0.5425
S108,Fam09,P,T,M,11.6,71,65.9,Exposed,infected,6,44,49,1076,12.705,-1.00776,-0.31795,1.2,1.8,42.7,11.9,199,1947850,256.5,50.11,0.424
S109,Fam11,O,TC,F,12.4,V48_028,71.7,E_control,control,0,38,44,641,42.012,0.002,-0.11198,4.4,0.5,18.8,12.6,2,2071070.3,346,50.11,0.93
S110,Fam11,O,TC,M,3.4,V48_029,71.3,E_control,control,0,33,38,395,27.777,-1.03958,-0.80697,3.8,0.1,4.7,0.2,0.8,NA,NA,NA,1.13
S111,Fam11,O,TC,F,10.8,V48_110,70.9,E_control,control,0,39,44,679,33.659,0.38966,0.2229,3.3,0.7,23.5,12.1,3.8,6427704.3,1160,65.11,1.58
S112,Fam11,O,TC,F,15.5,V48_264,72.8,E_control,control,0,38,44,588,-10.988,0.85606,0.81569,2.5,0.6,20,8.5,2.5,1167363.1,196,70.11,0.66
S113,Fam11,O,TT,F,11,V48_065,72.7,E_exposed,infected,1,35,40,481,21.071,-0.4197,-0.31147,2.1,0.6,12.4,6.1,2.9,991374.3,162,95.11,0.52
S114,Fam11,O,TT,M,10.9,V48_066,70.4,E_exposed,infected,1,35,40,440,-19.929,0.24099,0.40617,2.5,0.4,12,0.3,2.7,2100984.6,324,75.11,1.15
S115,Fam11,O,TT,F,10.5,V48_111,71.7,E_exposed,infected,3,41,46,768,29.953,0.95547,0.66511,4.2,0.9,31.3,13.6,4.4,2643137.4,439,75.11,0.74
S116,Fam11,O,CC,M,11.1,V48_022,67,NE_control,control,0,38,44,638,39.012,0.05035,-0.05947,4.4,0.4,16.9,2.9,1.9,951264.4,190,70.11,0.83
S117,Fam11,O,CC,F,12.3,V48_052,71.2,NE_control,control,0,38,44,594,-4.988,0.75938,0.71067,1.5,0.5,14.8,10,1.1,301697.2,41,100.11,1.73
S118,Fam11,O,CC,M,5.5,V48_074,70.6,NE_control,control,0,39,44,622,-23.341,1.29271,1.19983,1.3,0.3,13.1,4.3,11.1,1211828.8,183,80.11,1.18
S119,Fam11,O,CC,M,10,V48_357,70.2,NE_control,control,0,38,43,561,-37.988,1.29115,1.28828,1.5,0.4,6.7,3.3,1.1,632294.5,89,85.11,1.79
S120,Fam11,O,CT,F,12.5,V48_075,72.3,NE_exposed,infected,2,39,45,560,-85.341,2.30727,2.30578,1.5,0.3,13.4,9,1.1,1809721.2,276,65.11,0.72
S121,Fam11,O,CT,F,12.8,V48_150,71.4,NE_exposed,infected,2,36,42,473,-33.282,0.70922,0.82856,2.7,0.1,11.4,5.7,NA,1477290.9,220,85.11,1.27
S122,Fam11,O,CT,F,11.1,V48_272,73,NE_exposed,infected,1,41,47,685,-53.047,2.29297,2.11788,2,0.4,14.4,10.7,2.4,1743554.3,291,55.11,0.68
S123,Fam11,O,CT,M,12.3,V48_307,70.9,NE_exposed,infected,1,34,40,363,-50.576,0.4818,0.75391,0.9,0.1,4.7,0.3,0.4,201478.8,29,90.11,0.61
S124,Fam11,P,T,M,13.3,64,70.1,Exposed,infected,4,45,50,1024,11.458,0.83019,1.30824,5.8,1.2,27.9,15.7,307,3361759,457,70.11,0.6141
S125,Fam11,P,C,M,11.5,65,68.9,Control,control,0,43,50,919,11.464,0.52221,0.57266,3.5,1,26.4,16.1,204,2456302,317,70.11,0.6074
S126,Fam12,P,C,M,13.9,66,66.2,Control,control,0,43,47,971,12.112,-0.31574,-0.05353,4.4,1.5,36,18,277,2697229,399.5,15.1,0.5961
S127,Fam12,P,T,M,9.5,67,67,Exposed,infected,3,41,45,816,11.406,0.18199,-0.187,4.2,1,22.6,13.1,250,2997537,377.5,35.1,0.646
S128,Fam17,O,TC,M,9.3,V48_038,69.1,E_control,control,0,33,38,365,-2.223,-0.55043,-0.28109,3.8,0.3,12.4,0.2,1.2,854941.9,146,65.11,0.82
S129,Fam17,O,TC,M,12.6,V48_203,68.8,E_control,control,0,31,35,330,55.483,-1.98642,-1.66848,1,0.3,8.2,0.5,1.4,350440.4,49,70.11,0.72
S130,Fam17,O,TC,M,10.2,V48_204,69.4,E_control,control,0,32,37,370,49.13,-1.631,-1.36861,0.7,0.1,10,0.3,1.1,238101.3,27,85.11,0.25
S131,Fam17,O,TT,M,8.5,V48_002,69.7,E_exposed,infected,6,30,34,274,45.836,-2.08402,-1.6883,3.4,0.1,7.6,0.1,0.3,NA,NA,NA,0.88
S132,Fam17,O,TT,F,11,V48_099,69.5,E_exposed,infected,2,31,36,335,60.483,-2.06699,-1.756,1,0.1,10.1,6.8,1.6,692365.8,100,95.11,0.33
S133,Fam17,O,TT,M,10.4,V48_178,69.3,E_exposed,infected,3,31,36,327,52.483,-1.93808,-1.61597,1,0.1,6.8,0.2,0.8,395237.2,53,100.11,0.51
S134,Fam17,O,TT,M,9.6,V48_202,71.2,E_exposed,infected,1,35,40,472,12.071,-0.27467,-0.15394,1,0.3,13,2.8,2.2,381340.9,55,25.11,0.26
S135,Fam17,O,CC,M,10.5,V48_047,71.2,NE_control,control,0,31,36,331,56.483,-2.00254,-1.68599,3.6,0.3,10.4,0.1,0.9,299015.7,45,85.11,0.77
S136,Fam17,O,CC,M,12.8,V48_189,72,NE_control,control,0,33,38,391,23.777,-0.9694,-0.73618,2,0.5,12.6,0.6,0.3,937141,135,20.11,0.72
S137,Fam17,O,CC,F,9.7,V48_328,71.7,NE_control,control,0,30,34,285,56.836,-2.26128,-1.88084,2.1,0.4,8.8,5.2,0.7,1867475.7,252,70.11,0.55
S138,Fam17,O,CC,F,9.7,V48_378,70.4,NE_control,control,0,34,39,444,30.424,-0.82346,-0.66385,1.6,0.4,15.7,5.9,2,2141092.9,351,70.11,0.96
S139,Fam17,O,CT,M,10.7,V48_010,70.6,NE_exposed,infected,3,35,39,430,-29.929,0.40214,0.5812,3.9,0.1,12.5,0.1,1.1,1156073.3,209,70.11,1.06
S140,Fam17,O,CT,F,8.9,V48_067,71.6,NE_exposed,infected,2,35,40,423,-36.929,0.51494,0.70372,2.1,0.3,13.9,8.6,0.5,337334.9,45,110.11,1.38
S141,Fam17,O,CT,M,19.3,V48_187,68.3,NE_exposed,infected,5,35,40,428,-31.929,0.43437,0.6162,1.1,0.4,9.9,0.5,2.2,335313.9,38,75.11,2.05
S142,Fam17,O,CT,F,4.8,V48_224,71.8,NE_exposed,infected,3,36,41,492,-14.282,0.39316,0.48668,2.2,0.1,18.5,10.1,1.2,2982442.5,475,70.11,1.09
S143,Fam17,P,C,M,10.8,109,67.9,Control,control,0,46,52,1094,11.615,0.70219,1.46529,5.9,1.5,50.2,8.3,515,3553671,798.5,15.1,0.9408
S144,Fam17,P,T,M,12.4,110,67.6,Exposed,infected,1,45,51.5,1228,13.741,-2.45714,-1.14835,4.1,1.6,43.5,13.1,477,2572607,367,15.1,1.2838
